"ε/E = 1.00e+002"
0.864001 1.993604e+000 1.071671e+002
0.876001 1.976883e+000 1.042511e+002
0.888001 1.960127e+000 1.014526e+002
0.900001 1.943336e+000 9.876521e+001
0.912001 1.926508e+000 9.618323e+001
0.924001 1.909645e+000 9.370119e+001
0.936001 1.892744e+000 9.131400e+001
0.948001 1.875805e+000 8.901689e+001
0.960001 1.858827e+000 8.680537e+001
0.972001 1.841810e+000 8.467526e+001
0.984001 1.824752e+000 8.262261e+001
0.996001 1.807654e+000 8.064370e+001
1.008001 1.790514e+000 7.873504e+001
1.020001 1.773332e+000 7.689335e+001
1.032001 1.756106e+000 7.511553e+001
1.044001 1.738837e+000 7.339866e+001
1.056001 1.721522e+000 7.173999e+001
1.068001 1.704163e+000 7.013692e+001
1.080001 1.686756e+000 6.858698e+001
1.092001 1.669303e+000 6.708786e+001
1.104001 1.651801e+000 6.563735e+001
1.116001 1.634250e+000 6.423339e+001
1.128001 1.616650e+000 6.287399e+001
1.140001 1.598999e+000 6.155729e+001
1.152001 1.581296e+000 6.028153e+001
1.164001 1.563540e+000 5.904502e+001
1.176001 1.545731e+000 5.784617e+001
1.188001 1.527867e+000 5.668346e+001
1.200001 1.509948e+000 5.555546e+001
1.212001 1.491973e+000 5.446080e+001
1.224001 1.473939e+000 5.339818e+001
1.236001 1.455848e+000 5.236635e+001
1.248001 1.437696e+000 5.136415e+001
1.260001 1.419484e+000 5.039045e+001
1.272001 1.401211e+000 4.944417e+001
1.284001 1.382874e+000 4.852430e+001
1.296001 1.364473e+000 4.762986e+001
1.308001 1.346007e+000 4.675993e+001
1.320001 1.327475e+000 4.591361e+001
1.332001 1.308874e+000 4.509007e+001
1.344001 1.290205e+000 4.428848e+001
1.356001 1.271466e+000 4.350808e+001
1.368001 1.252656e+000 4.274813e+001
1.380001 1.233772e+000 4.200792e+001
1.392001 1.214815e+000 4.128677e+001
1.404001 1.195782e+000 4.058403e+001
1.416001 1.176672e+000 3.989908e+001
1.428001 1.157483e+000 3.923132e+001
1.440001 1.138215e+000 3.858019e+001
1.452001 1.118865e+000 3.794514e+001
1.464001 1.099433e+000 3.732564e+001
1.476001 1.079916e+000 3.672118e+001
1.488001 1.060313e+000 3.613130e+001
1.500001 1.040622e+000 3.555551e+001
1.512001 1.020841e+000 3.499337e+001
1.524001 1.000969e+000 3.444447e+001
1.536001 9.810046e-001 3.390838e+001
1.548001 9.609449e-001 3.338470e+001
1.560001 9.407885e-001 3.287307e+001
1.572001 9.205334e-001 3.237310e+001
1.584001 9.001776e-001 3.188446e+001
1.596001 8.797191e-001 3.140680e+001
1.608001 8.591558e-001 3.093979e+001
1.620001 8.384856e-001 3.048312e+001
1.632001 8.177063e-001 3.003649e+001
1.644001 7.968156e-001 2.959960e+001
1.656001 7.758111e-001 2.917217e+001
1.668001 7.546905e-001 2.875394e+001
1.680001 7.334514e-001 2.834464e+001
1.692001 7.120912e-001 2.794401e+001
1.704001 6.906072e-001 2.755182e+001
1.716001 6.689969e-001 2.716783e+001
1.728001 6.472574e-001 2.679181e+001
1.740001 6.253859e-001 2.642354e+001
1.752001 6.033795e-001 2.606281e+001
1.764001 5.812352e-001 2.570942e+001
